               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  83,              1.5728,              1.0517,              1.1887,             0.54907,             0.41428,             0.43068,             0.26232,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.5703,              1.0459,               1.189,             0.54583,             0.41398,             0.43003,              0.2614,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.5718,              1.0464,              1.1882,             0.54651,             0.41266,              0.4304,             0.26226,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.5714,              1.0494,              1.1869,             0.54946,             0.41207,             0.43185,             0.26291,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.5668,              1.0396,              1.1848,             0.54643,             0.41536,              0.4315,             0.26324,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.5667,              1.0334,              1.1845,             0.54697,             0.41301,             0.43137,             0.26326,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.5489,              1.0286,              1.1839,             0.55245,             0.41091,             0.43185,             0.26294,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.5511,              1.0233,              1.1821,              0.5587,             0.41219,             0.43275,             0.26356,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,               1.566,              1.0385,              1.1859,             0.55388,             0.41091,             0.43282,             0.26352,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.5444,              1.0201,               1.179,             0.55341,             0.41209,             0.43318,             0.26426,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.5564,              1.0242,              1.1826,             0.55489,              0.4141,             0.43382,             0.26424,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.5466,              1.0136,              1.1799,             0.54837,             0.41512,             0.43413,             0.26423,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.5516,              1.0146,              1.1823,             0.55078,             0.41577,             0.43417,             0.26413,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,                1.54,              1.0081,              1.1806,             0.55232,             0.41806,             0.43443,              0.2644,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.5378,              1.0095,                1.18,              0.5569,             0.41514,             0.43472,             0.26411,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.5502,              1.0146,              1.1795,             0.55794,             0.41379,             0.43446,             0.26431,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.5394,              1.0046,              1.1775,             0.55586,             0.41501,             0.43459,             0.26416,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
